"","X","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
"1",1902,59,"blue-collar","married","primary","no",0,"no","no","cellular",18,"nov",167,2,-1,0,"unknown",0
"2",3660,27,"unemployed","single","secondary","no",0,"yes","no","unknown",27,"may",185,2,-1,0,"unknown",0
"3",3170,43,"technician","married","secondary","no",-330,"yes","yes","cellular",8,"may",105,1,-1,0,"unknown",0
"4",1727,40,"blue-collar","married","secondary","no",3765,"yes","no","cellular",20,"nov",87,2,-1,0,"unknown",0
"5",854,31,"admin.","married","secondary","no",5,"no","no","unknown",16,"may",102,1,-1,0,"unknown",0
"6",2054,45,"management","divorced","tertiary","no",-901,"yes","no","unknown",26,"may",86,3,-1,0,"unknown",0
"7",376,36,"admin.","married","secondary","no",0,"yes","no","cellular",21,"jul",93,7,-1,0,"unknown",0
"8",3710,46,"blue-collar","single","primary","no",87,"no","no","unknown",15,"may",78,1,-1,0,"unknown",0
"9",2599,32,"blue-collar","single","secondary","no",232,"no","no","unknown",13,"dec",232,1,-1,0,"unknown",0
"10",3573,46,"technician","married","secondary","no",198,"yes","no","cellular",30,"jan",153,1,2,6,"other",0
"11",973,56,"blue-collar","divorced","secondary","no",486,"yes","no","unknown",18,"jun",577,4,-1,0,"unknown",0
"12",2520,32,"blue-collar","married","secondary","no",3144,"yes","no","unknown",23,"may",348,2,-1,0,"unknown",0
"13",2914,60,"retired","divorced","secondary","no",2047,"yes","no","telephone",21,"jul",241,3,-1,0,"unknown",0
"14",2198,29,"services","married","secondary","no",-443,"yes","no","unknown",30,"may",238,3,-1,0,"unknown",0
"15",3062,50,"blue-collar","married","secondary","no",-160,"yes","no","unknown",28,"may",600,2,-1,0,"unknown",0
"16",3237,57,"admin.","divorced","unknown","no",887,"no","no","unknown",20,"jun",43,8,-1,0,"unknown",0
"17",1169,38,"services","married","tertiary","no",1324,"yes","no","cellular",3,"feb",178,1,-1,0,"unknown",0
"18",1797,46,"management","married","tertiary","no",125,"yes","no","telephone",12,"may",81,5,-1,0,"unknown",0
"19",2663,39,"admin.","married","primary","no",510,"yes","no","cellular",17,"apr",155,1,-1,0,"unknown",0
"20",2694,41,"entrepreneur","divorced","tertiary","no",-413,"yes","no","unknown",8,"may",170,2,-1,0,"unknown",0
"21",149,41,"self-employed","single","tertiary","no",0,"no","no","cellular",18,"nov",256,1,-1,0,"unknown",0
"22",2176,26,"student","single","tertiary","no",0,"no","no","cellular",15,"jun",41,2,-1,0,"unknown",0
"23",2133,37,"admin.","single","secondary","no",31,"yes","no","cellular",18,"may",15,9,-1,0,"unknown",0
"24",1572,42,"services","married","secondary","no",714,"yes","yes","cellular",8,"may",211,1,358,5,"failure",0
"25",505,31,"admin.","single","secondary","no",-449,"yes","no","unknown",28,"may",81,2,-1,0,"unknown",0
"26",402,27,"blue-collar","single","secondary","yes",81,"no","yes","cellular",29,"jan",123,2,205,2,"success",0
"27",1236,28,"services","married","secondary","no",633,"no","yes","cellular",25,"jul",95,1,-1,0,"unknown",0
"28",1508,42,"blue-collar","married","secondary","no",2152,"yes","no","cellular",5,"may",319,2,169,1,"failure",0
"29",1516,45,"management","married","tertiary","no",126,"yes","no","cellular",20,"apr",92,1,342,1,"failure",0
"30",1499,51,"management","divorced","tertiary","no",1028,"no","no","cellular",5,"aug",178,4,-1,0,"unknown",0
"31",2638,24,"student","single","secondary","no",501,"no","no","cellular",28,"may",121,6,-1,0,"unknown",0
"32",445,38,"unemployed","married","tertiary","no",9881,"no","no","cellular",29,"jul",497,2,-1,0,"unknown",0
"33",809,37,"entrepreneur","married","secondary","no",209,"yes","no","cellular",17,"apr",100,1,-1,0,"unknown",0
"34",1585,32,"technician","married","secondary","no",286,"no","no","cellular",20,"apr",60,1,343,4,"failure",0
"35",1325,34,"self-employed","married","secondary","no",47,"no","no","cellular",4,"feb",362,2,169,2,"failure",0
"36",2942,54,"self-employed","married","secondary","no",12159,"yes","no","unknown",30,"may",183,2,-1,0,"unknown",0
"37",1376,39,"admin.","married","secondary","no",2598,"no","no","cellular",17,"nov",123,1,-1,0,"unknown",0
"38",3676,39,"housemaid","divorced","secondary","no",70,"no","no","cellular",4,"jun",346,2,128,8,"success",0
"39",455,60,"retired","married","primary","no",155,"no","no","cellular",25,"aug",115,7,-1,0,"unknown",0
"40",2214,36,"entrepreneur","married","secondary","no",302,"yes","no","cellular",17,"apr",112,1,-1,0,"unknown",0
"41",1132,41,"management","divorced","tertiary","no",902,"yes","no","cellular",3,"apr",134,1,-1,0,"unknown",0
"42",745,56,"self-employed","married","secondary","no",14,"no","no","cellular",16,"jul",239,1,-1,0,"unknown",0
"43",46,36,"technician","single","secondary","no",3254,"yes","no","unknown",27,"oct",207,1,-1,0,"unknown",1
"44",1955,55,"housemaid","divorced","unknown","no",603,"no","no","telephone",31,"jul",91,2,-1,0,"unknown",0
"45",3469,35,"admin.","married","secondary","no",-244,"yes","yes","cellular",6,"may",118,1,-1,0,"unknown",0
"46",2546,49,"management","divorced","secondary","no",4908,"no","no","cellular",31,"jul",42,4,-1,0,"unknown",0
"47",989,23,"services","single","unknown","no",15,"yes","no","cellular",15,"may",76,2,364,2,"other",0
"48",1018,40,"self-employed","single","tertiary","no",1693,"yes","no","cellular",17,"nov",353,1,-1,0,"unknown",0
"49",1213,33,"blue-collar","married","primary","no",261,"yes","no","cellular",20,"nov",252,1,-1,0,"unknown",0
"50",3768,25,"blue-collar","married","secondary","no",267,"no","no","cellular",7,"jul",422,2,-1,0,"unknown",0
"51",2555,31,"technician","single","tertiary","no",3729,"yes","no","cellular",5,"feb",176,2,8,10,"other",0
"52",1142,33,"management","single","tertiary","no",1781,"no","no","cellular",8,"oct",611,2,183,1,"success",1
"53",3141,35,"management","married","tertiary","no",775,"no","no","unknown",27,"jul",9,1,-1,0,"unknown",0
"54",831,45,"management","married","tertiary","no",0,"no","no","cellular",18,"nov",179,2,-1,0,"unknown",0
"55",3142,34,"blue-collar","married","secondary","no",-185,"yes","yes","unknown",13,"may",276,1,-1,0,"unknown",0
"56",656,58,"blue-collar","married","secondary","no",371,"no","no","cellular",22,"aug",73,2,-1,0,"unknown",0
"57",1148,36,"admin.","married","secondary","no",162,"yes","yes","cellular",20,"apr",340,2,-1,0,"unknown",0
"58",2564,27,"blue-collar","single","secondary","no",370,"yes","no","unknown",17,"jun",128,21,-1,0,"unknown",0
"59",2248,28,"blue-collar","married","secondary","no",-25,"yes","no","cellular",5,"may",58,2,-1,0,"unknown",0
"60",3786,35,"management","married","tertiary","no",0,"yes","no","cellular",16,"apr",563,1,-1,0,"unknown",0
"61",2095,59,"management","married","tertiary","no",4152,"yes","no","cellular",1,"oct",67,6,141,13,"failure",0
"62",799,39,"housemaid","married","secondary","no",-146,"yes","yes","cellular",20,"aug",239,2,-1,0,"unknown",0
"63",3140,57,"services","married","secondary","no",1315,"no","no","cellular",14,"aug",260,2,-1,0,"unknown",0
"64",771,59,"entrepreneur","married","tertiary","no",705,"yes","no","unknown",20,"may",446,2,-1,0,"unknown",0
"65",1830,31,"blue-collar","married","primary","no",11,"yes","no","unknown",9,"may",399,3,-1,0,"unknown",0
"66",3841,41,"services","single","primary","no",5907,"yes","no","cellular",21,"nov",6,5,-1,0,"unknown",0
"67",1762,32,"management","married","tertiary","no",91,"no","no","cellular",18,"may",126,2,356,2,"failure",0
"68",2816,46,"admin.","divorced","primary","no",50,"yes","yes","cellular",23,"jul",379,1,-1,0,"unknown",0
"69",850,48,"unknown","married","secondary","no",438,"no","no","cellular",28,"jan",412,5,-1,0,"unknown",0
"70",750,20,"student","single","primary","no",134,"no","no","cellular",12,"jul",273,1,277,3,"other",0
"71",1124,52,"management","married","tertiary","no",1295,"yes","no","cellular",18,"nov",121,1,123,1,"other",0
"72",2750,36,"technician","married","tertiary","no",3043,"yes","no","cellular",9,"jul",254,1,-1,0,"unknown",0
"73",2562,39,"technician","married","secondary","no",738,"no","yes","cellular",29,"jul",90,2,-1,0,"unknown",0
"74",2269,37,"management","divorced","secondary","no",414,"no","no","cellular",29,"jan",293,2,162,4,"failure",0
"75",73,26,"technician","single","tertiary","no",777,"yes","no","cellular",14,"aug",260,2,463,1,"failure",0
"76",931,43,"blue-collar","married","unknown","no",91,"yes","no","unknown",16,"may",37,1,-1,0,"unknown",0
"77",3734,31,"technician","single","secondary","no",1,"yes","no","cellular",12,"may",223,1,-1,0,"unknown",0
"78",162,34,"services","married","secondary","no",409,"yes","no","cellular",20,"apr",104,4,-1,0,"unknown",0
"79",1538,38,"blue-collar","single","unknown","no",-933,"yes","no","cellular",28,"jul",149,11,-1,0,"unknown",0
"80",2848,58,"housemaid","divorced","primary","no",3858,"no","no","telephone",29,"jul",53,6,-1,0,"unknown",0
"81",639,57,"admin.","married","primary","no",286,"no","no","cellular",5,"aug",100,3,-1,0,"unknown",0
"82",1196,37,"blue-collar","married","secondary","no",121,"yes","yes","cellular",13,"may",302,4,-1,0,"unknown",0
"83",3712,34,"entrepreneur","single","secondary","no",318,"yes","no","cellular",20,"apr",40,1,150,2,"failure",0
"84",1839,43,"blue-collar","single","secondary","no",99,"no","no","cellular",30,"jul",226,2,-1,0,"unknown",0
